line_id,route_id
r10831465,r10524210
r10831465,r10524211
r10831516,r10525436
r10831516,r10525435
r10831518,r10523910
r10831518,r10519399
r10831518,r10403637
r10831518,r10523911
r12759113,r10592288
r12759113,r10592287
r13478965,r13479120
r13478965,r13478964
r13489073,r13489398
r13489073,r13489072
r13497147,r13497146
r13497147,r13497384
r13498566,r13498565
r13498566,r13498564
r13498742,r13498741
r13498742,r13498740
r13498857,r13498856
r13498857,r13498855
r13500567,r13500566
r13500673,r13500672
r13500936,r13500934
r13500936,r13500935
r13510567,r13510566
